Vendor_ID,Vendor_Name,CAGE_Code,Contract_ID,Award_Date,Fiscal_Year,Region,Place_of_Performance_State,Contract_Type,PSC,NAICS,Small_Business_SetAside,Contract_Value,On_Time_Delivery_Percent,Cost_Overrun_Percent,Vendor_Satisfaction_Score,Performance_Risk_Flag,Vendor_Name_Standardized
QTWFKK19Y,MaplePark LLC,JL4CT,GS-21-0NRQ6U,10/1/2021,2021,Midwest,UT,Labor-Hour,D301 IT Facility Mgmt,517111,No,1038186.57,79.5,6.9,3.73,Medium,Maplepark LLC
J6EW0F8I1,Vanguard Ltd,2CSIP,GS-21-3L10HJ,4/17/2022,2021,Mid-Atlantic,TX,Fixed-Price with EPA,D399 IT Services,236220,No,535453.6,90.3,3.4,3.13,Low,Vanguard LTD
2HPD7E20N,Xenon Ltd,PVJE4,GS-21-4I9W3B,7/22/2022,2021,Mid-Atlantic,PA,Labor-Hour,7030 Info Tech HW,517111,No,175209.92,86.1,1.4,3.35,Low,Xenon LTD
MN1A4TQLM,Quartz  Inc,JYAWL,GS-21-5FNPJO,4/11/2022,2021,West,UT,Firm-Fixed Price,R499 Prof Services,541512,No,1422363.54,89.3,1.2,3.41,Low,Quartz INC
IJ3GVGQ8S,EdgeWorks LLC,T8FRF,GS-21-7PVKXV,5/11/2022,2021,Northeast,VA,Cost-Plus,J070 Maintenance,517111,No,2546458.78,69.4,24.3,3.39,High,Edgeworks LLC
XB74BSOZI,MaplePark Corporation,AUX8P,GS-21-A5TLBP,10/13/2021,2021,Midwest,PA,Time & Materials,D301 IT Facility Mgmt,541519,No,313990.99,73.2,14.4,3,Medium,Maplepark CORP
ZI49AHV5O,Nexus Systems,GADYZ,GS-21-C2TF6I,4/26/2022,2021,West,MO,Labor-Hour,D399 IT Services,541330,No,132962.87,77.2,3.9,2.98,Medium,Nexus Systems
RXR7RW4CI,INSIGHT  LTD,QY1IB,GS-21-D2IQIH,10/8/2021,2021,Southeast,GA,Fixed-Price with EPA,J070 Maintenance,541511,No,263330.14,87.1,3.8,3.32,Low,Insight LTD
U6A69TVTF,Riverton Corporation,73SLA,GS-21-GT7HTS,4/15/2022,2021,West,VA,Time & Materials,D399 IT Services,541511,No,342793.39,68.1,11.7,2.77,High,Riverton CORP
YY8BJJ2HO,DataBridge Corp,FLJKW,GS-21-H65N88,11/27/2021,2021,West,PA,Fixed-Price with EPA,R499 Prof Services,236220,No,1010808.19,85.6,0,3.2,Low,Databridge CORP
5A9RA69DX,BlueSky Corporation,9HROT,GS-21-HB8XPE,6/5/2022,2021,Mid-Atlantic,CA,Time & Materials,7030 Info Tech HW,541512,Yes,400311.61,61.1,12.3,2.89,High,Bluesky CORP
AZ3N2G6AS,Trident Incorporated,L1Q6L,GS-21-HTZU58,3/10/2022,2021,Mid-Atlantic,GA,Labor-Hour,Y1DA Construction,541330,Yes,797871.2,82.5,4.9,3.58,Low,Trident INC
RYLATX7EM,DataBridge Corp,F2HSA,GS-21-JC4PY7,6/19/2022,2021,Southwest,NY,Time & Materials,D301 IT Facility Mgmt,541611,No,634718.63,73.6,17.1,2.91,Medium,Databridge CORP
DCCEIGKHY,Pinnacle LLC,55V0N,GS-21-KUAOPV,11/29/2021,2021,Southwest,CA,Labor-Hour,D399 IT Services,541611,No,578685.29,88,14.2,3.3,Low,Pinnacle LLC
XRGA9UCOB,Kingsley Inc,19DBB,GS-21-L3M4LG,2/18/2022,2021,Southeast,UT,Fixed-Price with EPA,D399 IT Services,236220,Yes,713255.58,84.9,16.6,3.54,Medium,Kingsley INC
HNLZRG5GH,Evergreen Ltd,TL9XU,GS-21-LX06ZE,3/15/2022,2021,Southwest,VA,Cost-Plus,Y1DA Construction,541611,Yes,1190645.65,84.4,19.9,3.61,Medium,Evergreen LTD
RS5TIAB4X,ClearPath Systems,B54CJ,GS-21-MA5EAS,4/1/2022,2021,Southeast,NY,Fixed-Price with EPA,R499 Prof Services,541611,No,1872603.46,87.2,0,2.99,Low,Clearpath Systems
L8Q660HBX,Titan Corporation,TS5W6,GS-21-N3CIIS,11/28/2021,2021,Mid-Atlantic,CA,Firm-Fixed Price,Y1DA Construction,541519,No,280928.18,96.4,0,3.59,Low,Titan CORP
3CI14WFLT,Riverton LLC,PR69P,GS-21-NDRQC5,9/6/2022,2021,Midwest,MO,Firm-Fixed Price,R499 Prof Services,517111,No,666426.14,82.2,10.1,3.3,Low,Riverton LLC
BY8KXB4N9,Questline Corporation,LMEEW,GS-21-OU54UA,10/2/2021,2021,West,TX,Labor-Hour,7030 Info Tech HW,541511,No,604115.7,81.7,0,3.48,Medium,Questline CORP
WPGBTCLGV,DataBridge Incorporated,Z6TM2,GS-21-PLLZVS,8/10/2022,2021,West,UT,Firm-Fixed Price,D301 IT Facility Mgmt,517111,Yes,542809.41,78.1,1.4,3.28,Medium,Databridge INC
L4YLJPZJ7,Oakridge Corporation,VBFV3,GS-21-QE8FTH,6/7/2022,2021,Southwest,IL,Cost-Plus,J070 Maintenance,541330,No,2320835.42,54,22.8,3.06,High,Oakridge CORP
6PSDTQX1E,NorthStar Group,UG0O0,GS-21-WFXDTU,3/27/2022,2021,Northeast,MO,Firm-Fixed Price,J070 Maintenance,517111,No,307846.83,89.6,2.8,3.48,Low,Northstar Group
VUE3FKSGS,DataBridge Corporation,W6C1V,GS-21-X2XOQG,12/9/2021,2021,West,MO,Cost-Plus,D301 IT Facility Mgmt,541512,Yes,1463147.89,70.8,16.9,3.05,Medium,Databridge CORP
XB74BSOZI,MaplePark Corporation,AUX8P,GS-21-XBNMY7,2/26/2022,2021,Midwest,UT,Fixed-Price with EPA,D301 IT Facility Mgmt,541512,Yes,240895.75,84.6,4.9,2.57,Low,Maplepark CORP
RXR7RW4CI,Insight Ltd,QY1IB,GS-21-YP7988,12/8/2021,2021,West,MD,Fixed-Price with EPA,D399 IT Services,541512,Yes,256000.03,87.7,4.6,3.64,Low,Insight LTD
VU7MZN3VV,Harbor Incorporated,6YT7W,GS-21-ZFC4CY,12/1/2021,2021,West,GA,Time & Materials,R499 Prof Services,541519,No,392335.65,91.1,11.9,3.84,Low,Harbor INC
EWI4VJEIF,VECTOR LTD,XZWDJ,GS-21-ZZ9DD4,12/13/2021,2021,Mid-Atlantic,CA,Firm-Fixed Price,R499 Prof Services,236220,No,253416.73,76.3,9.1,3.11,Medium,Vector LTD
DCCEIGKHY,Pinnacle LLC,55V0N,GS-22-29VNR4,6/14/2023,2022,West,MO,Cost-Plus,D301 IT Facility Mgmt,518210,No,2140310.45,63.2,40.4,3.14,High,Pinnacle LLC
OO6EFJU9W,UrbanCore Ltd,HVKET,GS-22-2N10TC,4/27/2023,2022,Northeast,MO,Cost-Plus,7030 Info Tech HW,541611,No,2302792.68,56.3,26.6,2.4,High,Urbancore LTD
U6A69TVTF,RIVERTON CORPORATION,73SLA,GS-22-3NXSSX,1/26/2023,2022,Mid-Atlantic,PA,Cost-Plus,D301 IT Facility Mgmt,236220,No,2337598.06,54.7,28.8,2.5,High,Riverton Corporation
HNLZRG5GH,Evergreen Ltd,TL9XU,GS-22-3QZ6BM,8/31/2023,2022,Southeast,NY,Cost-Plus,D399 IT Services,541611,Yes,3969512.37,62.1,32.1,3.04,High,Evergreen LTD
YHHFPU1JA,Lumina Group,UHFGY,GS-22-3TNE58,3/29/2023,2022,Southwest,CA,Time & Materials,D399 IT Services,541511,No,382955.1,78.5,7.3,3.65,Medium,Lumina Group
6PSDTQX1E,NORTHSTAR GROUP,UG0O0,GS-22-5CNDBW,6/9/2023,2022,West,PA,Labor-Hour,J070 Maintenance,517111,Yes,265581.57,86.6,0,3.51,Low,Northstar Group
6PSDTQX1E,NorthStar Group,UG0O0,GS-22-5N18BC,1/22/2023,2022,Southeast,GA,Labor-Hour,R499 Prof Services,541511,Yes,209835.74,87.6,8.7,3.67,Low,Northstar Group
OE129G5XP,ClearPath Incorporated,6ELEP,GS-22-5O7DBW,6/26/2023,2022,Northeast,MO,Time & Materials,J070 Maintenance,236220,No,50168.08,70.3,11.7,2.81,Medium,Clearpath INC
4AV3V81IJ,Oakridge LLC,JXXUP,GS-22-8197J8,6/3/2023,2022,Mid-Atlantic,PA,Labor-Hour,D399 IT Services,541330,Yes,495547.48,86.7,5.2,3.21,Low,Oakridge LLC
YHHFPU1JA,Lumina Group,UHFGY,GS-22-AXW3VG,11/18/2022,2022,Southeast,VA,Firm-Fixed Price,D399 IT Services,236220,Yes,278934.24,75.8,1.2,3.13,Medium,Lumina Group
BM2ZEIO7O,ForgeTech Systems,T9OTG,GS-22-B5LS6J,5/25/2023,2022,Northeast,CA,Labor-Hour,R499 Prof Services,541519,No,1130050.26,94,12.8,3.65,Low,Forgetech Systems
RELFNCVUM,Greenfield Group,LPKY5,GS-22-CKQ5XP,3/12/2023,2022,Mid-Atlantic,MD,Time & Materials,R499 Prof Services,517111,Yes,266336.36,70.1,11.9,3.13,Medium,Greenfield Group
5999ZMWZT,Keystone Corp,OF9F0,GS-22-FJBL2D,9/14/2023,2022,Northeast,CA,Fixed-Price with EPA,Y1DA Construction,517111,Yes,1827428.09,83.8,3.1,3.69,Low,Keystone CORP
E8H70VTYK,Monarch Group,D3MTT,GS-22-H26O79,5/2/2023,2022,Southwest,UT,Labor-Hour,R499 Prof Services,541330,Yes,127620.07,90.2,0.7,3.17,Low,Monarch Group
VUE3FKSGS,DataBridge Corporation,W6C1V,GS-22-K5W4RN,3/7/2023,2022,Mid-Atlantic,GA,Firm-Fixed Price,D301 IT Facility Mgmt,236220,Yes,445726.67,72.8,9,2.87,Medium,Databridge CORP
2HPD7E20N,XENON LTD,PVJE4,GS-22-K8R2XG,11/1/2022,2022,Southwest,TX,Time & Materials,Y1DA Construction,236220,No,1089855.78,85.9,17,3.29,Medium,Xenon LTD
ELETDH6GP,Harbor LLC,BIRMA,GS-22-LGCGS9,12/20/2022,2022,Southeast,CA,Labor-Hour,D399 IT Services,541330,No,170284.18,83.3,4.7,3.45,Low,Harbor LLC
E8H70VTYK,Monarch Group,D3MTT,GS-22-LH72JK,11/19/2022,2022,West,MD,Cost-Plus,Y1DA Construction,541330,No,1081359.76,78.1,20.5,2.88,Medium,Monarch Group
S2UNY8VEP,Summit Corporation,PI2YQ,GS-22-OB3FAI,10/29/2022,2022,Southeast,VA,Time & Materials,Y1DA Construction,541330,Yes,776334.52,72.3,15.5,3.42,Medium,Summit CORP
WPGBTCLGV,DATABRIDGE INCORPORATED,Z6TM2,GS-22-OJPK16,12/15/2022,2022,Northeast,TX,Labor-Hour,Y1DA Construction,541511,Yes,917751.91,91.2,4.5,3.32,Low,Databridge Incorporated
RYLATX7EM,DataBridge Corp,F2HSA,GS-22-T7J9EX,3/6/2023,2022,Southeast,PA,Labor-Hour,Y1DA Construction,518210,Yes,273745.87,99,8.1,3.74,Low,Databridge CORP
RXR7RW4CI,Insight Ltd,QY1IB,GS-22-V0CDVR,8/13/2023,2022,Southwest,UT,Firm-Fixed Price,7030 Info Tech HW,541611,No,927793.25,86.5,11.8,3.16,Low,Insight LTD
L4YLJPZJ7,Oakridge Corporation,VBFV3,GS-22-VJZVGZ,5/10/2023,2022,Midwest,IL,Firm-Fixed Price,J070 Maintenance,517111,Yes,907886.1,83.1,9,2.96,Low,Oakridge CORP
RXR7RW4CI,Insight Ltd,QY1IB,GS-22-XBHRN0,6/24/2023,2022,Southwest,MD,Fixed-Price with EPA,J070 Maintenance,236220,Yes,448204.53,81.7,5.3,3.43,Medium,Insight LTD
RS5TIAB4X,ClearPath Systems,B54CJ,GS-22-XQYOPE,7/6/2023,2022,Midwest,NY,Time & Materials,D301 IT Facility Mgmt,236220,Yes,142777.47,60.8,14.6,2.93,High,Clearpath Systems
PUSITIJHQ,MaplePark Systems,7XOGZ,GS-22-YWGU29,7/27/2023,2022,West,MD,Cost-Plus,J070 Maintenance,541512,No,980964.37,85.3,19.7,3.59,Medium,Maplepark Systems
VU7MZN3VV,Harbor Incorporated,6YT7W,GS-23-0OJB8T,9/3/2024,2023,Mid-Atlantic,MO,Fixed-Price with EPA,Y1DA Construction,541512,Yes,1416889.38,86.2,1.6,3.41,Low,Harbor INC
C3G3E1689,Evergreen Ltd,PH54F,GS-23-13QV3M,9/15/2024,2023,Midwest,UT,Firm-Fixed Price,D301 IT Facility Mgmt,541611,No,252232.03,77.5,0,3.64,Medium,Evergreen LTD
XXN79PBKC,Evergreen Corporation,8T1RL,GS-23-14NZOK,1/29/2024,2023,Southwest,GA,Firm-Fixed Price,D399 IT Services,541512,Yes,525789.19,84,6.1,2.9,Low,Evergreen CORP
NWHB6E5KA,IronGate Incorporated,6EH5J,GS-23-2ZH3L5,2/22/2024,2023,Southeast,MD,Labor-Hour,Y1DA Construction,517111,No,451463.83,76.1,5.5,3.12,Medium,Irongate INC
HNLZRG5GH,Evergreen Ltd,TL9XU,GS-23-3AM16U,12/22/2023,2023,Midwest,VA,Fixed-Price with EPA,R499 Prof Services,541511,No,667684.53,83,6.9,3.17,Low,Evergreen LTD
6PSDTQX1E,NorthStar Group,UG0O0,GS-23-6V984G,6/10/2024,2023,Southwest,VA,Fixed-Price with EPA,J070 Maintenance,541519,No,1303042.44,87.8,7.6,3.18,Low,Northstar Group
S2UNY8VEP,Summit Corporation,PI2YQ,GS-23-7Y10R0,3/21/2024,2023,Northeast,GA,Fixed-Price with EPA,D301 IT Facility Mgmt,236220,No,2545344.25,72.9,29.8,3,High,Summit CORP
D1TL6QNFE,Silverline Ltd,L1IJG,GS-23-BA8I7H,4/16/2024,2023,Northeast,VA,Labor-Hour,J070 Maintenance,517111,No,27549.51,86.8,0,3.42,Low,Silverline LTD
XXN79PBKC,EVERGREEN CORPORATION,8T1RL,GS-23-D9XZVD,9/17/2024,2023,West,IL,Cost-Plus,D301 IT Facility Mgmt,518210,No,624623.49,66.9,15.6,3.14,High,Evergreen Corporation
5A9RA69DX,BlueSky Corporation,9HROT,GS-23-IMROFS,9/6/2024,2023,West,MD,Firm-Fixed Price,J070 Maintenance,541519,No,408998.23,81.3,8.7,2.77,Medium,Bluesky CORP
RXR7RW4CI,Insight Ltd,QY1IB,GS-23-N0POFN,7/22/2024,2023,West,GA,Labor-Hour,Y1DA Construction,541519,Yes,143486.41,90.5,2,3.35,Low,Insight LTD
QTWFKK19Y,Maplepark  Llc,JL4CT,GS-23-NV8J9R,11/14/2023,2023,Mid-Atlantic,IL,Fixed-Price with EPA,Y1DA Construction,541330,No,1173408.41,89.7,0,3.58,Low,Maplepark LLC
JS7HVHVFX,Yardley Inc,0WVKZ,GS-23-OKNUSN,10/27/2023,2023,Midwest,CA,Firm-Fixed Price,D399 IT Services,541611,No,285180.72,80.3,8.8,3.77,Medium,Yardley INC
ZI49AHV5O,Nexus Systems,GADYZ,GS-23-PS9M6E,7/30/2024,2023,Southeast,GA,Fixed-Price with EPA,7030 Info Tech HW,541519,No,430692.47,78.1,5.2,3.64,Medium,Nexus Systems
S2UNY8VEP,Summit  Corporation,PI2YQ,GS-23-R2NRHW,8/29/2024,2023,Southeast,MD,Fixed-Price with EPA,D301 IT Facility Mgmt,236220,Yes,564015.48,82,17,3.97,Medium,Summit CORP
Q13SFNDPM,Umbra Ltd,V3Y7U,GS-23-U0SOLZ,8/1/2024,2023,Midwest,MO,Time & Materials,Y1DA Construction,541611,No,649349.17,80.5,9.9,2.97,Medium,Umbra LTD
XV144MTVF,Yellowfin Group,KLMUX,GS-23-VJB5AS,9/3/2024,2023,Midwest,VA,Time & Materials,7030 Info Tech HW,236220,No,424360.11,76.9,15.3,3.24,Medium,Yellowfin Group
EWI4VJEIF,VECTOR LTD,XZWDJ,GS-23-ZB1C77,6/12/2024,2023,Southwest,IL,Cost-Plus,7030 Info Tech HW,541519,No,2192416.78,57.8,13.8,2.9,High,Vector LTD
YY8BJJ2HO,DataBridge Corp,FLJKW,GS-23-ZUL433,5/15/2024,2023,Southwest,IL,Cost-Plus,Y1DA Construction,518210,No,1219317.72,79.6,16.3,2.93,Medium,Databridge CORP
ECFAHR6VF,PRIMESOURCE  LLC,THXTY,TIRHQ-21-19682F,12/28/2021,2021,Mid-Atlantic,MD,Fixed-Price with EPA,Y1DA Construction,541330,Yes,356493.32,90.1,0,3.8,Low,Primesource LLC
VUE3FKSGS,DataBridge Corporation,W6C1V,TIRHQ-21-46GMFD,1/20/2022,2021,Midwest,VA,Cost-Plus,Y1DA Construction,541611,No,1188863.02,77.8,15.2,3.06,Medium,Databridge CORP
33OMBD4K3,UrbanCore Inc,67PT6,TIRHQ-21-4PO7JH,4/20/2022,2021,Northeast,MO,Labor-Hour,D301 IT Facility Mgmt,541611,No,125246.25,78.9,1.9,3.4,Medium,Urbancore INC
PUSITIJHQ,MaplePark Systems,7XOGZ,TIRHQ-21-5WSS6T,1/23/2022,2021,Northeast,IL,Labor-Hour,R499 Prof Services,517111,No,193129.1,89.5,0,3.5,Low,Maplepark Systems
2HPD7E20N,Xenon Ltd,PVJE4,TIRHQ-21-6OZ7DS,5/25/2022,2021,Northeast,UT,Fixed-Price with EPA,R499 Prof Services,236220,Yes,461619.68,89.9,4,3.18,Low,Xenon LTD
2HPD7E20N,Xenon Ltd,PVJE4,TIRHQ-21-AGDW7U,4/28/2022,2021,Mid-Atlantic,MO,Cost-Plus,D301 IT Facility Mgmt,541611,Yes,1967559.52,77.7,17.2,3.42,Medium,Xenon LTD
ELETDH6GP,HARBOR LLC,BIRMA,TIRHQ-21-AWX9CP,12/25/2021,2021,Mid-Atlantic,CA,Time & Materials,R499 Prof Services,541512,No,116954.19,70.3,13.7,3.21,Medium,Harbor LLC
6PSDTQX1E,NorthStar Group,UG0O0,TIRHQ-21-BSPR1G,1/29/2022,2021,Northeast,MO,Fixed-Price with EPA,J070 Maintenance,541511,Yes,384176.64,87.6,0,3.46,Low,Northstar Group
0WAH7DWFR,ZIRCON INC,6HWBW,TIRHQ-21-C1JJX5,3/23/2022,2021,Mid-Atlantic,NY,Time & Materials,D301 IT Facility Mgmt,541330,No,173401.18,73,17.4,2.81,Medium,Zircon INC
RXR7RW4CI,Insight Ltd,QY1IB,TIRHQ-21-C3SJ6A,1/27/2022,2021,Southwest,MO,Cost-Plus,D399 IT Services,541512,No,3783996.36,51.3,30.3,2.77,High,Insight LTD
RS5TIAB4X,ClearPath Systems,B54CJ,TIRHQ-21-C4WZ51,6/7/2022,2021,Southeast,PA,Time & Materials,R499 Prof Services,541511,No,260463.35,78.7,18.2,3.18,Medium,Clearpath Systems
02ZJ2G49Y,Falcon Corporation,91JC5,TIRHQ-21-EWC0S1,8/12/2022,2021,Mid-Atlantic,IL,Time & Materials,7030 Info Tech HW,517111,No,616449.09,70.4,20.6,3.11,Medium,Falcon CORP
YY8BJJ2HO,DataBridge Corp,FLJKW,TIRHQ-21-FQV832,4/21/2022,2021,Midwest,UT,Time & Materials,D399 IT Services,541330,Yes,190302.47,64.1,9.6,2.97,High,Databridge CORP
JS7HVHVFX,Yardley Inc,0WVKZ,TIRHQ-21-FQV95P,3/20/2022,2021,West,UT,Cost-Plus,J070 Maintenance,541611,Yes,1639654.12,86.8,15.4,3.29,Medium,Yardley INC
MN1A4TQLM,Quartz Inc,JYAWL,TIRHQ-21-IAI5T5,12/27/2021,2021,Southwest,MO,Fixed-Price with EPA,D399 IT Services,541611,No,953173.69,75.7,15,3.09,Medium,Quartz INC
XXN79PBKC,EVERGREEN  CORPORATION,8T1RL,TIRHQ-21-JYI3UP,7/24/2022,2021,Northeast,MD,Firm-Fixed Price,Y1DA Construction,541330,Yes,199607.49,84.6,2.1,3.24,Low,Evergreen Corporation
ECFAHR6VF,PrimeSource LLC,THXTY,TIRHQ-21-KTVKQJ,4/13/2022,2021,Southwest,GA,Firm-Fixed Price,Y1DA Construction,518210,No,107904.65,98.9,0,3.55,Low,Primesource LLC
MNOPWYZAS,Beacon Inc,ODCCZ,TIRHQ-21-LQUW4E,11/25/2021,2021,Southeast,NY,Cost-Plus,D301 IT Facility Mgmt,517111,No,860521.59,79.8,15.7,3.27,Medium,Beacon INC
H0EQG80L2,Kingsley Corporation,3F7L0,TIRHQ-21-NTMR3N,8/7/2022,2021,Southeast,TX,Cost-Plus,J070 Maintenance,518210,Yes,972612.43,74.6,15.5,3.18,Medium,Kingsley CORP
IJ3GVGQ8S,EdgeWorks LLC,T8FRF,TIRHQ-21-QTLRIL,8/14/2022,2021,Southwest,TX,Cost-Plus,D301 IT Facility Mgmt,541512,No,856537.26,75.5,22,3.13,Medium,Edgeworks LLC
MNOPWYZAS,Beacon Inc,ODCCZ,TIRHQ-21-QUZKZ7,5/17/2022,2021,Midwest,UT,Fixed-Price with EPA,D399 IT Services,517111,Yes,876488.24,84.4,2.5,3.3,Low,Beacon INC
4AV3V81IJ,Oakridge LLC,JXXUP,TIRHQ-21-R871FK,1/9/2022,2021,Northeast,MD,Cost-Plus,Y1DA Construction,236220,No,1799093.96,77.4,17.9,3.37,Medium,Oakridge LLC
ZCW8W5YFV,Westward Corporation,OFQ8A,TIRHQ-21-RQXXXN,1/7/2022,2021,Northeast,IL,Cost-Plus,R499 Prof Services,541512,Yes,279766.72,80.3,12.6,3.35,Medium,Westward CORP
2HPD7E20N,Xenon Ltd,PVJE4,TIRHQ-21-SDBMXZ,11/30/2021,2021,Southeast,NY,Firm-Fixed Price,D301 IT Facility Mgmt,541511,Yes,757968.56,79.6,2.2,3.83,Medium,Xenon LTD
VU7MZN3VV,Harbor Incorporated,6YT7W,TIRHQ-21-T1EXKG,5/31/2022,2021,West,VA,Fixed-Price with EPA,D399 IT Services,541512,Yes,883046.56,71.9,7.1,3.36,Medium,Harbor INC
E8H70VTYK,Monarch Group,D3MTT,TIRHQ-21-W2YTU9,8/7/2022,2021,Northeast,GA,Cost-Plus,D301 IT Facility Mgmt,541512,Yes,1354538.7,74.7,17.1,3.3,Medium,Monarch Group
